"area_id","manzana_label","mza","variable","categoria","casos","pct"
"07010100010010004900","070101000100100049 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 049","049","sexo","Mujer",43,0.524390243902439
"07010100010010005000","070101000100100050 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 050","050","sexo","Hombre",108,0.577540106951872
"07010100010010005000","070101000100100050 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 050","050","sexo","Mujer",79,0.422459893048128
"07010100010010005100","070101000100100051 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 051","051","sexo","Hombre",65,0.532786885245902
"07010100010010005100","070101000100100051 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 051","051","sexo","Mujer",57,0.467213114754098
"07010100010010005200","070101000100100052 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 052","052","sexo","Hombre",27,0.428571428571429
"07010100010010005200","070101000100100052 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 052","052","sexo","Mujer",36,0.571428571428571
"07010100010010005401","070101000100100054A, Callao,Callao,Callao,Centro Poblado: Callao,Mza: 054A","054A","sexo","Hombre",79,0.537414965986395
"07010100010010005401","070101000100100054A, Callao,Callao,Callao,Centro Poblado: Callao,Mza: 054A","054A","sexo","Mujer",68,0.462585034013605
"07010100010010005500","070101000100100055 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 055","055","sexo","Hombre",62,0.516666666666667
"07010100010010005500","070101000100100055 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 055","055","sexo","Mujer",58,0.483333333333333
"07010100010010005600","070101000100100056 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 056","056","sexo","Hombre",55,0.454545454545455
"07010100010010005600","070101000100100056 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 056","056","sexo","Mujer",66,0.545454545454545
"07010100010010005700","070101000100100057 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 057","057","sexo","Hombre",71,0.496503496503497
"07010100010010005700","070101000100100057 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 057","057","sexo","Mujer",72,0.503496503496504
"07010100010010005900","070101000100100059 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 059","059","sexo","Hombre",31,0.492063492063492
"07010100010010005900","070101000100100059 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 059","059","sexo","Mujer",32,0.507936507936508
"07010100010010006000","070101000100100060 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 060","060","sexo","Hombre",23,0.450980392156863
"07010100010010006000","070101000100100060 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 060","060","sexo","Mujer",28,0.549019607843137
"07010100010010088888","0701010001001008888, Callao,Callao,Callao,Centro Poblado: Callao,Mza: 8888","8888","sexo","Hombre",33,0.559322033898305
"07010100010010088888","0701010001001008888, Callao,Callao,Callao,Centro Poblado: Callao,Mza: 8888","8888","sexo","Mujer",26,0.440677966101695
"07010100010020000100","070101000100200001 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 001","001","sexo","Hombre",27,0.613636363636364
"07010100010020000100","070101000100200001 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 001","001","sexo","Mujer",17,0.386363636363636
"07010100010020000200","070101000100200002 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 002","002","sexo","Hombre",14,0.466666666666667
"07010100010020000200","070101000100200002 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 002","002","sexo","Mujer",16,0.533333333333333
"07010100010020000201","070101000100200002A, Callao,Callao,Callao,Centro Poblado: Callao,Mza: 002A","002A","sexo","Hombre",17,0.53125
"07010100010020000201","070101000100200002A, Callao,Callao,Callao,Centro Poblado: Callao,Mza: 002A","002A","sexo","Mujer",15,0.46875
"07010100010020000301","070101000100200003A, Callao,Callao,Callao,Centro Poblado: Callao,Mza: 003A","003A","sexo","Hombre",24,0.521739130434783
"07010100010020000301","070101000100200003A, Callao,Callao,Callao,Centro Poblado: Callao,Mza: 003A","003A","sexo","Mujer",22,0.478260869565217
"07010100010020000700","070101000100200007 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 007","007","sexo","Hombre",73,0.483443708609272
"07010100010020000700","070101000100200007 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 007","007","sexo","Mujer",78,0.516556291390728
"07010100010020000800","070101000100200008 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 008","008","sexo","Hombre",55,0.466101694915254
"07010100010020000800","070101000100200008 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 008","008","sexo","Mujer",63,0.533898305084746
"07010100010020000900","070101000100200009 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 009","009","sexo","Hombre",42,0.477272727272727
"07010100010020000900","070101000100200009 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 009","009","sexo","Mujer",46,0.522727272727273
"07010100010020001000","070101000100200010 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 010","010","sexo","Hombre",63,0.473684210526316
"07010100010020001000","070101000100200010 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 010","010","sexo","Mujer",70,0.526315789473684
"07010100010020001100","070101000100200011 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 011","011","sexo","Hombre",101,0.465437788018433
"07010100010020001100","070101000100200011 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 011","011","sexo","Mujer",116,0.534562211981567
"07010100010020001200","070101000100200012 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 012","012","sexo","Hombre",107,0.486363636363636
"07010100010020001200","070101000100200012 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 012","012","sexo","Mujer",113,0.513636363636364
"07010100010020001800","070101000100200018 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 018","018","sexo","Hombre",89,0.502824858757062
