LLAVE_MZS,Mz,CODCCPP,ZONA,AREA,manzana_label,mza,sexo_hombre,sexo_mujer,tipoviv_casa_independiente,tipoviv_departamento_en_edificio,tipoviv_vivienda_en_casa_de_vecindad_callej_n_solar_o_corral_n_,tipoviv_vivienda_improvisada,tipoviv_viviendas_colectivas,tipoviv_vivienda_en_quinta,tipoviv_local_no_destinado_para_habitaci_n_humana,tipoviv_otro_tipo_de_vivienda_particular,ocup_ocupada_con_personas_presentes,ocup_ocupada_con_personas_ausentes,ocup_ocupada_de_uso_ocasional,ocup_desocupada_otra_causa,ocup_desocupada_abandonada_o_cerrada,ocup_desocupada_en_construcci_n_o_reparaci_n,ocup_desocupada_en_alquiler_o_venta,tenencia_alquilada,tenencia_propia_sin_t_tulo_de_propiedad,tenencia_propia_con_t_tulo_de_propiedad,tenencia_cedida,tenencia_otra_forma,habitaciones_promedio,viviendas_con_dato_habitaciones,personas_hogar_promedio,hogares_con_dato,poblacion_total,pct_hombres,viviendas_con_tenencia,pct_alquiler,hacinamiento_proxy
070101000102500005,070101000102500005,0001,02500,1,"070101000102500005 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 005",005,119.0,145.0,55.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,2.0,0.0,0.0,0.0,0.0,2.0,25.0,13.0,22.0,10.0,0.0,3.0,70.0,4.0,74.0,264.0,45.1,70.0,35.7,1.33
070101000101600037,070101000101600037,0001,01600,1,"070101000101600037 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 037",037,68.0,84.0,45.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,30.0,1.0,0.0,3.0,49.0,3.0,51.0,152.0,44.7,49.0,34.7,1.0
070101000102700014,070101000102700014,0001,02700,1,"070101000102700014 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 014",014,152.0,165.0,77.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,42.0,4.0,0.0,3.0,76.0,4.0,82.0,317.0,47.9,76.0,19.7,1.33
070101000102800016,070101000102800016,0001,02800,1,"070101000102800016 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 016",016,80.0,93.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0,2.0,0.0,0.0,9.0,5.0,22.0,4.0,0.0,3.0,40.0,4.0,45.0,173.0,46.2,40.0,22.5,1.33
070101000101600058,070101000101600058,0001,01600,1,"070101000101600058 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 058",058,67.0,93.0,30.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,24.0,2.0,0.0,3.0,42.0,4.0,42.0,160.0,41.9,42.0,33.3,1.33
070101000102700011,070101000102700011,0001,02700,1,"070101000102700011 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 011",011,148.0,159.0,52.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,4.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,41.0,1.0,0.0,4.0,50.0,4.0,73.0,307.0,48.2,50.0,16.0,1.0
070101000102500019,070101000102500019,0001,02500,1,"070101000102500019 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 019",019,154.0,184.0,65.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,3.0,55.0,4.0,0.0,3.0,77.0,4.0,81.0,338.0,45.6,77.0,19.5,1.33
070101000101600064,070101000101600064,0001,01600,1,"070101000101600064 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 064",064,104.0,86.0,38.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,42.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,6.0,23.0,2.0,0.0,3.0,42.0,4.0,49.0,190.0,54.7,42.0,26.2,1.33
070101000102600045,070101000102600045,0001,02600,1,"070101000102600045 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 045",045,68.0,77.0,29.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,5.0,20.0,1.0,0.0,3.0,36.0,4.0,37.0,145.0,46.9,36.0,27.8,1.33
070101000102500051,070101000102500051,0001,02500,1,"070101000102500051 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 051",051,115.0,126.0,49.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,9.0,29.0,6.0,0.0,3.0,53.0,4.0,58.0,241.0,47.7,53.0,17.0,1.33
070101000102800008,070101000102800008,0001,02800,1,"070101000102800008 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 008",008,73.0,85.0,31.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,6.0,17.0,3.0,0.0,4.0,35.0,4.0,40.0,158.0,46.2,35.0,25.7,1.0
070101000102500016,070101000102500016,0001,02500,1,"070101000102500016 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 016",016,77.0,82.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,3.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,30.0,5.0,0.0,3.0,40.0,4.0,42.0,159.0,48.4,40.0,12.5,1.33
070101000102600032A,070101000102600032A,0001,02600,1,"070101000102600032A, Callao,Callao,Callao,Centro Poblado: Callao,Mza: 032A",032A,81.0,85.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,11.0,16.0,0.0,0.0,3.0,40.0,4.0,45.0,166.0,48.8,40.0,32.5,1.33
070101000102600025,070101000102600025,0001,02600,1,"070101000102600025 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 025",025,76.0,74.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,13.0,3.0,0.0,3.0,26.0,4.0,34.0,150.0,50.7,26.0,34.6,1.33
070101000102500031,070101000102500031,0001,02500,1,"070101000102500031 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 031",031,61.0,57.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,21.0,3.0,0.0,3.0,30.0,4.0,30.0,118.0,51.7,30.0,20.0,1.33
070101000101600038,070101000101600038,0001,01600,1,"070101000101600038 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 038",038,84.0,71.0,22.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,12.0,6.0,0.0,3.0,31.0,4.0,41.0,155.0,54.2,31.0,41.9,1.33
070101000101600033,070101000101600033,0001,01600,1,"070101000101600033 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 033",033,99.0,90.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,20.0,2.0,0.0,4.0,27.0,5.0,39.0,189.0,52.4,27.0,11.1,1.25
070101000102500039,070101000102500039,0001,02500,1,"070101000102500039 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 039",039,67.0,63.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,18.0,0.0,0.0,4.0,21.0,4.0,29.0,130.0,51.5,21.0,9.5,1.0
070101000102600001,070101000102600001,0001,02600,1,"070101000102600001 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 001",001,158.0,158.0,38.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,32.0,10.0,0.0,4.0,52.0,4.0,77.0,316.0,50.0,52.0,9.6,1.0
