"area_id","manzana_label","mza","sexo_hombre","sexo_mujer","tipoviv_casa_independiente","tipoviv_departamento_en_edificio","tipoviv_vivienda_en_casa_de_vecindad_callej_n_solar_o_corral_n_","tipoviv_vivienda_improvisada","tipoviv_viviendas_colectivas","tipoviv_vivienda_en_quinta","tipoviv_local_no_destinado_para_habitaci_n_humana","tipoviv_otro_tipo_de_vivienda_particular","ocup_ocupada_con_personas_presentes","ocup_ocupada_con_personas_ausentes","ocup_ocupada_de_uso_ocasional","ocup_desocupada_otra_causa","ocup_desocupada_abandonada_o_cerrada","ocup_desocupada_en_construcci_n_o_reparaci_n","ocup_desocupada_en_alquiler_o_venta","tenencia_alquilada","tenencia_propia_sin_t_tulo_de_propiedad","tenencia_propia_con_t_tulo_de_propiedad","tenencia_cedida","tenencia_otra_forma","habitaciones_promedio","viviendas_con_dato_habitaciones","personas_hogar_promedio","hogares_con_dato","poblacion_total","pct_hombres","viviendas_con_tenencia","pct_alquiler","hacinamiento_proxy"
"07010100010010003500","070101000100100035 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 035","035",69,59,47,7,0,0,0,0,0,0,44,4,0,0,0,0,6,20,2,21,1,0,2,44,3,46,128,53.9,44,45.5,1.5
"07010100010010003600","070101000100100036 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 036","036",67,59,33,0,0,0,0,0,0,0,27,1,1,0,1,0,3,3,0,18,6,0,3,27,4,31,126,53.2,27,11.1,1.33
"07010100010010003800","070101000100100038 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 038","038",67,52,41,0,0,0,0,0,0,0,37,1,2,0,0,0,1,11,1,23,2,0,3,37,3,38,119,56.3,37,29.7,1
"07010100010010003900","070101000100100039 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 039","039",91,77,30,8,0,0,0,0,0,0,34,1,0,1,1,0,1,7,0,23,4,0,4,34,4,42,168,54.2,34,20.6,1
"07010100010010004000","070101000100100040 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 040","040",29,31,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,13,0,0,3,14,4,14,60,48.3,14,0,1.33
"07010100010010004100","070101000100100041 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 041","041",88,98,50,2,0,0,1,0,0,0,50,2,0,0,0,0,0,8,6,35,1,0,3,50,4,51,186,47.3,50,16,1.33
"07010100010010004200","070101000100100042 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 042","042",72,73,30,2,0,0,0,0,0,0,29,2,1,0,0,0,0,9,0,20,0,0,4,29,4,33,145,49.7,29,31,1
"07010100010010004300","070101000100100043 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 043","043",96,93,31,6,0,0,0,0,0,0,35,0,0,0,1,0,1,5,6,22,2,0,3,35,4,42,189,50.8,35,14.3,1.33
"07010100010010004400","070101000100100044 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 044","044",82,81,30,0,0,0,0,0,0,0,29,1,0,0,0,0,0,2,1,26,0,0,4,29,5,36,163,50.3,29,6.9,1.25
"07010100010010004500","070101000100100045 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 045","045",79,85,28,2,0,0,0,0,0,0,30,0,0,0,0,0,0,7,0,22,1,0,4,30,4,39,164,48.2,30,23.3,1
"07010100010010004600","070101000100100046 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 046","046",65,60,26,0,0,0,0,0,0,0,26,0,0,0,0,0,0,2,0,20,4,0,4,26,4,32,125,52,26,7.7,1
"07010100010010004700","070101000100100047 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 047","047",41,52,22,0,0,0,0,0,0,0,21,1,0,0,0,0,0,4,2,14,1,0,3,21,4,24,93,44.1,21,19,1.33
"07010100010010004800","070101000100100048 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 048","048",18,13,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,4,7,4,7,31,58.1,7,0,1
